Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TO_Att,TO_Succ,TO_Succ%,TO_Tkld,TO_Tkld%,Carries,TotDist,PrgDist,PrgC,Carry1/3,Carry_PA,Mis,Dis,Pass_Rec,Pass_PrgR
Cody Baker,us USA,MF,Seattle Sounders,21-118,2004,0.2,12,1,3,5,4,0,12,0,0,,0,,1,1,0,0,0,0,0,0,5,0,Matches
Reed Baker-Whiting,us USA,"FW,MF",Seattle Sounders,20-035,2005,0.3,15,2,3,4,8,1,15,1,1,100.0,0,0.0,8,26,6,0,0,0,2,0,8,2,Matches
Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-112,2001,3.2,128,8,22,47,62,13,128,9,2,22.2,7,77.8,56,260,108,4,2,2,13,4,77,26,Matches
Jonathan Bamba,ci CIV,FW,Chicago Fire,29-040,1996,9.6,443,7,62,201,191,44,443,27,8,29.6,18,66.7,313,2071,1128,44,21,18,25,18,346,72,Matches
Fidel Barajas,mx MEX,FW,D.C. United,19-030,2006,0.2,18,0,0,4,14,1,18,1,0,0.0,1,100.0,12,52,11,0,0,0,1,2,15,7,Matches
Jesús Barea,es ESP,FW,Real Salt Lake,23-007,2002,2.0,78,1,2,38,38,8,78,4,2,50.0,2,50.0,45,217,75,1,1,0,14,10,55,10,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Tai Baribo,il ISR,FW,Philadelphia Union,27-110,1998,7.9,301,3,21,168,116,28,301,8,6,75.0,2,25.0,154,556,163,3,2,1,20,9,194,38,Matches
Tom Barlow,us USA,"FW,MF",Chicago Fire,29-301,1995,2.1,51,4,9,18,24,5,51,3,0,0.0,3,100.0,21,83,22,1,2,0,2,3,28,4,Matches
Luis Barraza,us USA,GK,D.C. United,28-178,1996,4.0,147,120,147,0,0,0,147,0,0,,0,,77,484,307,0,0,0,0,0,47,0,Matches
Leonardo Barroso,pt POR,DF,Chicago Fire,19-327,2005,3.0,149,17,63,54,35,4,149,4,4,100.0,0,0.0,64,405,182,2,3,0,9,3,62,9,Matches
Jacob Bartlett,us USA,MF,Sporting KC,19-210,2005,6.5,386,26,107,226,56,1,386,1,1,100.0,0,0.0,184,676,311,1,4,0,7,1,233,1,Matches
Lucas Bartlett,us USA,DF,D.C. United,27-283,1997,10.0,660,82,366,256,40,11,660,0,0,,0,,356,1597,667,2,3,0,4,2,408,3,Matches
Ethan Bartlow,us USA,DF,Houston Dynamo,25-092,2000,4.3,266,29,122,121,25,6,266,3,3,100.0,0,0.0,138,732,469,3,4,0,1,0,173,3,Matches
Cole Bassett,us USA,"MF,FW",Colorado Rapids,23-281,2001,9.4,559,17,77,292,195,32,559,15,10,66.7,5,33.3,304,1808,1039,27,19,5,16,11,378,42,Matches
Sam Bassett,us USA,MF,Colorado Rapids,22-022,2003,0.1,2,0,0,1,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,27-159,1997,10.0,591,1,55,338,201,20,591,14,6,42.9,7,50.0,392,1801,825,21,17,2,20,9,487,69,Matches
Zorhan Bassong,ca CAN,MF,Sporting KC,25-363,1999,3.5,206,7,46,113,49,6,206,3,3,100.0,0,0.0,111,540,249,5,3,1,7,3,142,8,Matches
Andy Batioja,co COL,FW,Houston Dynamo,19-094,2006,0.1,5,0,0,1,4,0,5,1,1,100.0,0,0.0,3,14,0,0,0,0,0,0,5,1,Matches
Josh Bauer,us USA,DF,Nashville SC,26-287,1998,2.4,164,10,60,63,41,11,164,1,0,0.0,1,100.0,64,253,98,2,2,1,1,1,90,7,Matches
Timo Baumgartl,de GER,DF,St. Louis,29-062,1996,4.2,224,55,152,61,11,5,224,0,0,,0,,128,406,170,2,2,0,2,0,140,1,Matches
Tanner Beason,us USA,DF,NE Revolution,28-043,1997,4.6,262,40,144,110,9,2,262,0,0,,0,,112,453,243,0,0,0,2,1,158,0,Matches
Adam Beaudry,us USA,GK,Colorado Rapids,19-017,2006,1.0,29,21,29,0,0,0,29,0,0,,0,,18,60,35,0,0,0,0,0,16,0,Matches
Simon Becher,us USA,"FW,MF",St. Louis,25-289,1999,5.0,185,7,30,81,77,26,185,11,3,27.3,8,72.7,101,519,185,9,5,2,22,14,126,40,Matches
Alejandro Bedoya,us USA,"MF,FW",Philadelphia Union,38-006,1987,0.8,66,2,12,28,26,4,66,1,0,0.0,1,100.0,39,147,76,1,3,0,1,0,46,8,Matches
Jon Bell,jm JAM,DF,Seattle Sounders,27-252,1997,4.1,328,23,120,188,21,2,328,3,2,66.7,1,33.3,175,648,274,2,1,0,5,2,233,4,Matches
Ramiro Benetti,br BRA,MF,FC Dallas,31-348,1993,10.0,659,34,184,392,88,2,659,4,2,50.0,2,50.0,259,1028,416,5,3,0,7,4,410,11,Matches
Christian Benteke,be BEL,FW,D.C. United,34-153,1990,9.0,295,11,15,117,165,75,293,7,1,14.3,6,85.7,139,487,156,6,4,4,15,8,228,46,Matches
Sebastian Berhalter,us USA,MF,Vancouver W'caps,23-353,2001,8.4,658,25,109,350,201,9,658,4,1,25.0,3,75.0,319,1215,603,6,9,1,15,11,405,30,Matches
Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,31-078,1994,10.8,526,18,68,192,278,41,525,48,20,41.7,28,58.3,349,2627,1028,38,26,22,29,13,380,85,Matches
Miguel Berry,es ESP,FW,LA Galaxy,27-231,1997,3.8,70,3,3,31,36,15,70,1,0,0.0,1,100.0,32,141,61,2,1,1,5,0,45,14,Matches
Pep Biel,es ESP,"FW,MF",Charlotte,28-242,1996,8.5,356,3,35,152,174,25,356,27,12,44.4,15,55.6,223,1136,536,15,10,5,14,10,254,49,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Guilherme Biro,br BRA,DF,Austin,25-004,2000,10.1,600,45,193,303,106,12,600,6,3,50.0,3,50.0,319,1271,560,9,11,1,4,4,360,23,Matches
Tristan Blackmon,us USA,DF,Vancouver W'caps,28-266,1996,9.1,744,59,309,384,55,14,744,5,4,80.0,0,0.0,444,1995,1031,8,4,1,5,0,511,3,Matches
Andre Blake,jm JAM,GK,Philadelphia Union,34-165,1990,9.0,268,211,266,2,0,0,268,1,1,100.0,0,0.0,157,874,333,0,0,0,0,0,112,0,Matches
Emmanuel Boateng,gh GHA,FW,San Diego FC,31-108,1994,0.8,29,0,5,9,16,1,29,1,1,100.0,0,0.0,19,107,54,4,3,0,1,1,24,4,Matches
Wiktor Bogacz,pl POL,"DF,FW",NY Red Bulls,20-295,2004,0.5,13,1,1,4,8,2,13,0,0,,0,,8,16,6,0,0,0,2,0,11,3,Matches
Luca Bombino,us USA,DF,San Diego FC,18-299,2006,3.5,267,10,78,121,70,6,267,4,2,50.0,2,50.0,123,474,225,1,4,0,2,4,183,20,Matches
Jonathan Bond,eng ENG,GK,Houston Dynamo,31-351,1993,3.0,106,83,106,0,0,0,106,0,0,,0,,69,317,147,0,0,0,1,0,56,0,Matches
Denis Bouanga,ga GAB,FW,LAFC,30-175,1994,9.4,516,7,33,139,355,87,514,80,33,41.3,45,56.3,345,2740,1426,62,24,43,35,18,378,145,Matches
Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,25-007,2000,4.7,216,0,22,76,122,24,216,10,4,40.0,6,60.0,137,1019,538,19,14,5,18,12,165,50,Matches
Giuseppe Bovalina,au AUS,DF,Vancouver W'caps,20-175,2004,1.3,77,4,23,23,31,5,77,1,0,0.0,1,100.0,34,180,87,2,7,0,2,2,39,10,Matches
Michael Boxall,nz NZL,DF,Minnesota Utd,36-260,1988,9.0,418,97,244,90,85,12,418,0,0,,0,,136,535,278,2,1,0,6,1,156,7,Matches
Christopher Brady,us USA,GK,Chicago Fire,21-063,2004,10.4,359,333,358,1,0,0,359,0,0,,0,,193,785,473,0,0,0,0,0,186,0,Matches
Claudio Bravo,ar ARG,DF,Portland Timbers,28-053,1997,1.4,110,6,45,51,15,5,110,1,1,100.0,0,0.0,50,248,147,3,1,1,0,1,61,4,Matches
David Brekalo,si SVN,DF,Orlando City,26-153,1998,6.4,477,46,191,229,59,10,477,6,5,83.3,1,16.7,246,1140,666,5,8,1,3,1,297,8,Matches
Luke Brennan,us USA,FW,Atlanta Utd,20-070,2005,0.0,4,0,0,2,2,0,4,0,0,,0,,2,27,7,0,0,0,1,0,3,2,Matches
Sebastian Breza,ca CAN,GK,CF Montréal,27-051,1998,1.0,41,34,40,1,0,0,41,0,0,,0,,30,94,74,0,0,0,0,0,24,0,Matches
Yannick Bright,it ITA,MF,Inter Miami,23-244,2001,5.7,337,22,108,198,37,1,337,12,6,50.0,5,41.7,164,750,272,6,5,1,9,6,193,5,Matches
Andrew Brody,us USA,DF,Sporting KC,30-002,1995,0.9,76,5,11,26,39,1,76,0,0,,0,,42,235,102,0,3,0,1,1,50,9,Matches
Brandt Bronico,us USA,MF,Charlotte,29-319,1995,9.2,398,17,109,201,92,12,398,10,1,10.0,8,80.0,200,1036,491,16,11,3,8,6,237,26,Matches
Lachlan Brook,au AUS,FW,Real Salt Lake,24-086,2001,1.1,64,0,5,25,34,1,64,1,0,0.0,1,100.0,41,120,52,0,1,0,4,0,44,5,Matches
Javain Brown,jm JAM,DF,Real Salt Lake,26-057,1999,2.2,171,7,72,83,16,4,171,0,0,,0,,86,329,184,3,2,0,1,4,110,1,Matches
Tristan Brown,us USA,DF,Columbus Crew,17-200,2007,0.2,22,0,2,6,14,3,22,2,1,50.0,1,50.0,17,164,118,5,2,3,1,1,17,3,Matches
Gastón Brugman,uy URU,MF,Nashville SC,32-240,1992,4.0,332,6,79,208,47,3,332,5,3,60.0,2,40.0,154,525,210,1,3,0,5,1,235,10,Matches
Ola Brynhildsen,no NOR,"FW,MF",Toronto FC,26-008,1999,2.7,66,3,8,34,26,3,66,9,3,33.3,5,55.6,41,204,86,4,4,2,11,4,49,11,Matches
Pavel Bucha,cz CZE,MF,FC Cincinnati,27-055,1998,9.4,575,18,97,325,157,15,575,16,10,62.5,6,37.5,302,1418,681,9,10,2,10,13,399,23,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Noel Buck,eng ENG,"MF,DF",NE Revolution,20-030,2005,0.3,22,2,8,8,7,2,22,0,0,,0,,11,53,6,0,0,1,1,1,9,2,Matches
Noel Buck,eng ENG,MF,SJ Earthquakes,20-030,2005,0.0,2,0,0,0,2,0,2,0,0,,0,,2,15,8,0,1,0,0,0,2,0,Matches
Dawid Bugaj,pl POL,DF,CF Montréal,20-300,2004,2.5,103,4,23,54,27,1,103,1,1,100.0,0,0.0,50,308,187,5,3,0,5,0,53,9,Matches
Osman Bukari,gh GHA,"MF,FW",Austin,26-143,1998,8.2,318,1,44,106,171,38,318,31,11,35.5,19,61.3,205,1304,681,28,11,14,19,12,205,84,Matches
Teal Bunbury,us USA,"FW,MF",Nashville SC,35-067,1990,0.6,39,0,4,19,16,8,39,1,1,100.0,0,0.0,23,48,7,0,0,0,6,1,34,8,Matches
Roman Bürki,ch SUI,GK,St. Louis,34-172,1990,3.0,122,100,122,0,0,0,122,0,0,,0,,64,279,168,0,0,0,0,0,56,0,Matches
Evan Bush,us USA,GK,Columbus Crew,39-060,1986,1.0,31,23,31,0,0,0,31,0,0,,0,,21,95,54,0,0,0,0,0,16,0,Matches
Sergio Busquets,es ESP,MF,Inter Miami,36-293,1988,8.9,630,28,177,366,90,2,630,4,2,50.0,2,50.0,323,1023,459,4,5,0,4,4,424,11,Matches
Brandon Bye,us USA,DF,NE Revolution,29-157,1995,3.1,228,20,73,96,62,3,228,3,2,66.7,1,33.3,96,404,209,3,2,0,1,0,122,13,Matches
Nathan Byrne,eng ENG,DF,Charlotte,32-334,1992,8.0,548,40,173,254,124,2,548,5,3,60.0,1,20.0,291,1230,660,17,13,0,8,3,311,33,Matches
Kevin Cabral,fr FRA,"FW,MF",Colorado Rapids,25-299,1999,6.3,180,3,17,66,100,22,180,6,0,0.0,5,83.3,101,546,200,10,4,5,13,8,119,43,Matches
Rafael Cabral,br BRA,GK,Real Salt Lake,34-350,1990,11.0,506,339,491,15,0,0,506,1,1,100.0,0,0.0,306,1716,854,0,0,0,0,0,276,0,Matches
Noel Caliskan,de GER,"DF,MF",Real Salt Lake,24-249,2000,0.2,19,1,7,11,1,0,19,0,0,,0,,12,44,25,1,0,0,0,0,11,0,Matches
Drake Callender,us USA,GK,Inter Miami,27-210,1997,2.1,74,64,74,0,0,0,74,0,0,,0,,42,185,82,0,0,0,0,0,38,0,Matches
Leonardo Campana,ec ECU,FW,NE Revolution,24-285,2000,4.9,161,10,19,82,62,21,161,4,2,50.0,2,50.0,71,329,130,3,4,2,11,9,106,19,Matches
George Campbell,us USA,DF,CF Montréal,23-317,2001,8.9,813,94,427,345,44,10,813,10,6,60.0,2,20.0,477,2207,1008,4,6,1,14,2,513,5,Matches
Reggie Cannon,us USA,DF,Colorado Rapids,26-328,1998,7.3,377,18,121,180,79,8,377,5,3,60.0,1,20.0,172,753,362,8,9,2,5,4,199,20,Matches
Gustavo Caraballo,us USA,"MF,FW",Orlando City,16-249,2008,0.2,20,0,6,6,9,1,20,1,0,0.0,1,100.0,11,84,68,2,2,0,0,0,15,0,Matches
Felipe Carballo,uy URU,MF,NY Red Bulls,28-213,1996,5.9,475,13,78,291,109,6,475,5,3,60.0,2,40.0,272,1195,630,6,14,0,9,5,330,14,Matches
Wikelman Carmona,ve VEN,"FW,MF",NY Red Bulls,22-070,2003,4.9,231,5,21,93,117,9,231,10,6,60.0,3,30.0,151,754,342,8,5,2,3,5,172,33,Matches
Maximo Carrizo,us USA,FW,NYCFC,17-066,2008,0.2,7,0,3,2,2,0,7,0,0,,0,,2,14,12,0,0,0,0,0,3,0,Matches
Julio Cascante,cr CRC,DF,Austin,31-214,1993,3.5,260,25,101,153,7,4,260,1,0,0.0,1,100.0,162,600,277,1,0,0,0,0,201,0,Matches
Nico Cavallo,us USA,"DF,MF",NYCFC,23-129,2001,1.4,79,5,36,33,11,1,79,0,0,,0,,35,204,149,4,0,1,1,0,32,3,Matches
Brayan Ceballos,co COL,DF,NE Revolution,23-346,2001,9.0,558,95,341,204,17,9,558,6,4,66.7,1,16.7,321,1445,710,2,1,0,4,2,375,0,Matches
Roman Celentano,us USA,GK,FC Cincinnati,24-233,2000,11.0,365,330,363,2,0,0,365,1,1,100.0,0,0.0,200,1027,578,0,0,0,2,0,149,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Edwin Cerrillo,us USA,MF,LA Galaxy,24-214,2000,9.6,721,21,178,450,100,3,721,11,7,63.6,3,27.3,405,1804,662,4,12,2,14,6,575,4,Matches
Dylan Chambost,fr FRA,"MF,FW",Columbus Crew,27-259,1997,10.8,947,27,181,478,293,19,947,7,3,42.9,4,57.1,543,2084,935,16,11,3,11,10,715,42,Matches
Tomás Chancalay,ar ARG,FW,NE Revolution,26-124,1999,0.8,51,0,6,25,25,1,51,2,1,50.0,1,50.0,20,136,38,1,2,0,7,1,35,6,Matches
Maxime Chanot,lu LUX,DF,LAFC,35-165,1989,0.7,44,11,30,14,0,0,44,0,0,,0,,8,29,2,0,0,0,0,0,15,0,Matches
Diego Chará,co COL,MF,Portland Timbers,39-030,1986,6.9,439,22,125,283,36,0,439,3,2,66.7,1,33.3,233,771,347,3,6,0,4,4,301,3,Matches
Gabriel Chaves,br BRA,"FW,MF",LA Galaxy,24-083,2001,9.8,580,2,34,220,340,47,580,50,23,46.0,26,52.0,388,2958,1335,50,33,23,29,17,454,100,Matches
Yevhen Cheberko,ua UKR,DF,Columbus Crew,27-102,1998,8.5,864,59,352,448,70,8,864,12,7,58.3,4,33.3,602,2869,1480,13,8,0,4,1,659,7,Matches
Ștefan Chirilă,ro ROU,MF,FC Cincinnati,18-110,2007,0.1,2,0,0,0,2,1,2,0,0,,0,,2,6,5,0,0,0,0,2,2,1,Matches
Dominik Chong Qui,us USA,DF,Atlanta Utd,17-127,2007,0.7,33,4,10,13,10,0,33,1,0,0.0,1,100.0,22,143,88,4,0,0,2,2,22,4,Matches
Léo Chú,br BRA,"FW,MF",FC Dallas,25-029,2000,2.3,76,2,5,31,41,10,76,6,1,16.7,5,83.3,42,331,100,2,1,1,5,1,54,15,Matches
Markus Cimermancic,ca CAN,"DF,MF",Toronto FC,20-216,2004,2.4,127,5,48,44,37,5,127,3,2,66.7,1,33.3,57,228,87,1,1,0,6,3,67,14,Matches
Caden Clark,us USA,"FW,MF",CF Montréal,21-343,2003,7.6,271,2,29,113,130,21,271,7,5,71.4,2,28.6,146,641,242,9,6,3,18,5,177,47,Matches
Noah Cobb,us USA,"DF,FW",Atlanta Utd,19-289,2005,2.8,209,16,81,120,9,2,209,1,1,100.0,0,0.0,133,549,287,4,4,0,2,0,150,5,Matches
Alonso Coello,es ESP,MF,Toronto FC,25-205,1999,6.0,454,15,111,266,80,2,454,6,3,50.0,3,50.0,249,1095,442,6,6,1,15,4,305,9,Matches
Michael Collodi,us USA,GK,FC Dallas,23-345,2001,1.0,40,24,39,1,0,0,40,0,0,,0,,19,115,45,0,0,0,0,0,15,0,Matches
Theo Corbeanu,ca CAN,"FW,MF",Toronto FC,22-353,2002,6.6,293,4,25,120,157,22,293,32,16,50.0,14,43.8,194,1846,849,39,18,11,23,7,232,59,Matches
Matthew Corcoran,us USA,MF,Nashville SC,19-077,2006,1.6,124,3,32,85,8,0,124,1,0,0.0,1,100.0,84,302,175,2,0,0,4,1,92,1,Matches
Carlos Coronel,py PAR,GK,NY Red Bulls,28-127,1996,10.0,344,280,340,4,0,0,344,0,0,,0,,196,903,537,0,0,0,0,0,168,0,Matches
David Costa,pt POR,"MF,FW",Portland Timbers,24-120,2001,10.3,612,5,63,294,264,38,612,36,21,58.3,15,41.7,412,2811,1537,61,38,18,25,7,468,67,Matches
Vitor Costa,br BRA,DF,SJ Earthquakes,30-308,1994,4.8,280,17,77,112,93,19,280,3,1,33.3,2,66.7,122,579,300,11,2,3,3,4,138,27,Matches
Brandan Craig,us USA,DF,CF Montréal,21-028,2004,1.2,82,10,35,42,5,1,82,1,1,100.0,0,0.0,50,115,46,0,0,0,1,1,56,0,Matches
