Player,Nation,Pos,Squad,Age,Born,90s,Tkl_attempted,TklW,Tkl_Def,Tkl_Mid,Tkl_Att,Drib_Tkl,Drib_chal,Drib_Tkl%,Chal_Lost,Blocks,Shots_blocked,Pass_blocked,Interceptions,Tkl+Int,Clr,Err_shot,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Christopher Donovan,us USA,FW,Philadelphia Union,24-270,2000,1.5,2,2,1,0,1,1,1,100.0,0,4,0,4,0,2,2,0,Matches
Griffin Dorsey,us USA,DF,Houston Dynamo,26-061,1999,10.9,14,7,8,5,1,10,18,55.6,8,6,0,6,10,24,20,0,Matches
C.J. dos Santos,us USA,GK,San Diego FC,24-254,2000,11.0,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,8,1,Matches
Hassani Dotson,us USA,MF,Minnesota Utd,27-272,1997,4.1,6,5,3,2,1,1,3,33.3,2,5,2,3,4,10,8,0,Matches
Souleyman Doumbia,ci CIV,DF,Charlotte,28-223,1996,3.5,7,6,5,2,0,2,2,100.0,0,8,4,4,3,10,8,0,Matches
Anders Dreyer,dk DEN,FW,San Diego FC,27-003,1998,10.6,5,3,2,1,2,5,5,100.0,0,6,0,6,1,6,3,0,Matches
Nicolás Dubersarsky,ar ARG,MF,Austin,20-135,2004,0.8,4,1,3,1,0,2,2,100.0,0,1,0,1,1,5,2,0,Matches
Erik Duenas,us USA,"MF,FW",Houston Dynamo,20-199,2004,0.8,4,2,3,1,0,0,0,,0,0,0,0,1,5,1,0,Matches
Morris Duggan,de GER,DF,Minnesota Utd,24-193,2000,6.4,4,1,2,2,0,0,3,0.0,3,5,5,0,3,7,66,0,Matches
Bryce Duke,us USA,"MF,FW",CF Montréal,24-066,2001,4.7,7,4,2,4,1,3,6,50.0,3,5,0,5,0,7,3,0,Matches
Kyle Duncan,us USA,DF,NY Red Bulls,27-270,1997,2.0,3,3,2,0,1,3,4,75.0,1,3,2,1,2,5,7,0,Matches
Chris Durkin,us USA,"MF,FW",St. Louis,25-086,2000,3.8,6,4,2,3,1,4,7,57.1,3,6,3,3,6,12,12,0,Matches
Jeremy Ebobisse,us USA,FW,LAFC,28-080,1997,2.8,1,0,0,0,1,0,2,0.0,2,1,0,1,0,1,1,0,Matches
Daniel Edelman,us USA,MF,NY Red Bulls,22-007,2003,6.9,13,7,2,9,2,11,23,47.8,12,8,2,6,8,21,12,0,Matches
Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-101,1992,1.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Matthew Edwards,us USA,DF,Atlanta Utd,22-077,2003,4.8,7,4,3,4,0,3,5,60.0,2,5,2,3,4,11,10,0,Matches
Michael Edwards,us USA,DF,Colorado Rapids,24-159,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,Matches
Raheem Edwards,ca CAN,DF,NY Red Bulls,29-294,1995,3.9,6,5,2,3,1,1,10,10.0,9,5,1,4,7,13,7,0,Matches
Noah Eile,se SWE,DF,NY Red Bulls,22-290,2002,10.5,23,12,11,12,0,12,13,92.3,1,14,7,7,12,35,67,0,Matches
Jack Elliott,eng ENG,DF,Chicago Fire,29-253,1995,10.0,9,5,6,3,0,7,13,53.8,6,11,8,3,8,17,75,4,Matches
Emeka Eneli,us USA,MF,Real Salt Lake,25-199,1999,9.5,17,10,10,6,1,6,14,42.9,8,17,7,10,12,29,14,0,Matches
Lukas Engel,dk DEN,DF,FC Cincinnati,26-142,1998,10.3,16,12,9,3,4,12,15,80.0,3,25,4,21,15,31,43,2,Matches
Boris Enow,cm CMR,MF,D.C. United,25-036,2000,5.6,8,4,4,3,1,4,8,50.0,4,7,0,7,11,19,3,2,Matches
Ramiro Enrique,ar ARG,"FW,MF",Orlando City,24-001,2001,2.3,1,1,1,0,0,0,1,0.0,1,1,0,1,2,3,4,0,Matches
Franco Escobar,ar ARG,DF,Houston Dynamo,30-073,1995,8.9,27,20,20,6,1,19,26,73.1,7,11,4,7,15,42,35,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Cristian Espinoza,ar ARG,"DF,MF",SJ Earthquakes,30-032,1995,11.0,19,11,6,10,3,13,24,54.2,11,5,0,5,10,29,12,1,Matches
Derrick Etienne,ht HAI,FW,Toronto FC,28-161,1996,3.1,2,2,2,0,0,1,3,33.3,2,3,0,3,1,3,3,0,Matches
Evander,br BRA,"MF,FW",FC Cincinnati,26-330,1998,8.0,12,7,6,4,2,7,14,50.0,7,10,2,8,2,14,2,0,Matches
Diego Fagúndez,uy URU,"FW,MF",LA Galaxy,30-080,1995,9.9,12,6,6,4,2,4,10,40.0,6,8,0,8,0,12,6,1,Matches
Maximiliano Falcón,uy URU,DF,Inter Miami,28-004,1997,4.2,5,2,4,1,0,4,7,57.1,3,11,7,4,6,11,20,0,Matches
Marco Farfan,us USA,DF,FC Dallas,26-174,1998,5.2,11,4,6,2,3,5,10,50.0,5,2,1,1,3,14,25,1,Matches
Logan Farrington,us USA,FW,FC Dallas,23-142,2001,5.7,10,7,3,4,3,6,8,75.0,2,5,3,2,2,12,19,0,Matches
Mohamed Farsi,dz ALG,"DF,MF",Columbus Crew,25-140,1999,8.9,13,5,5,6,2,7,9,77.8,2,8,0,8,4,17,13,0,Matches
Ilay Feingold,il ISR,"DF,FW",NE Revolution,20-255,2004,9.0,12,7,6,5,1,7,15,46.7,8,19,5,14,8,20,27,1,Matches
Joaquín Fernández,es ESP,DF,Sporting KC,28-339,1996,6.2,7,4,5,2,0,3,4,75.0,1,8,3,5,1,8,37,0,Matches
Julián Fernández,ar ARG,"FW,MF",NYCFC,21-122,2004,5.6,10,4,3,7,0,5,12,41.7,7,10,1,9,2,12,5,0,Matches
Omir Fernandez,us USA,"MF,FW",Colorado Rapids,26-086,1999,2.0,1,1,1,0,0,0,3,0.0,3,3,0,3,2,3,3,0,Matches
Omir Fernandez,us USA,"MF,FW",Portland Timbers,26-086,1999,0.4,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,1,0,Matches
Jesús Ferreira,us USA,"FW,MF",Seattle Sounders,24-132,2000,7.3,12,9,5,3,4,3,7,42.9,4,4,1,3,6,18,2,0,Matches
Nicolas Fleuriau,ca CAN,"DF,FW",Vancouver W'caps,22-349,2002,0.1,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
Deybi Flores,hn HON,MF,Toronto FC,28-323,1996,7.7,23,11,12,9,2,8,22,36.4,14,10,3,7,18,41,39,0,Matches
Gilberto Flores,py PAR,DF,FC Cincinnati,22-034,2003,6.6,13,12,8,4,1,8,19,42.1,11,15,10,5,6,19,51,1,Matches
Max Floriani,us USA,DF,SJ Earthquakes,22-088,2003,1.8,0,0,0,0,0,0,2,0.0,2,4,3,1,2,2,5,0,Matches
CJ Fodrey,us USA,"FW,MF",Austin,21-084,2004,0.7,4,2,3,1,0,0,2,0.0,2,0,0,0,0,4,2,0,Matches
Mamadou Fofana,ml MLI,DF,NE Revolution,27-104,1998,9.9,26,14,21,4,1,14,24,58.3,10,15,9,6,15,41,69,1,Matches
Emil Forsberg,se SWE,MF,NY Red Bulls,33-194,1991,10.7,7,6,1,4,2,4,7,57.1,3,4,0,4,1,8,2,0,Matches
Ajani Fortune,tt TRI,"MF,FW",Atlanta Utd,22-126,2002,4.0,10,8,6,4,0,4,6,66.7,2,6,1,5,8,18,7,0,Matches
Jimer Fory,co COL,"DF,MF",Portland Timbers,22-346,2002,8.6,14,9,8,5,1,7,10,70.0,3,21,5,16,12,26,44,1,Matches
Kobe Franklin,ca CAN,DF,Toronto FC,21-360,2003,0.6,2,2,2,0,0,1,1,100.0,0,1,0,1,0,2,0,0,Matches
Ian Fray,us USA,DF,Inter Miami,22-247,2002,4.7,17,10,15,2,0,12,16,75.0,4,11,2,9,9,26,9,1,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Wayne Frederick,tt TRI,MF,Colorado Rapids,20-326,2004,1.5,3,0,1,2,0,0,1,0.0,1,2,1,1,6,9,7,0,Matches
Alexander Freeman,us USA,DF,Orlando City,20-269,2004,10.4,18,12,12,6,0,8,15,53.3,7,15,3,12,7,25,46,0,Matches
Matt Freese,us USA,GK,NYCFC,26-245,1998,11.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,1,Matches
Stefan Frei,ch SUI,GK,Seattle Sounders,39-015,1986,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Julian Gaines,us USA,FW,Nashville SC,22-181,2002,0.1,2,0,1,0,1,0,0,,0,0,0,0,0,2,0,0,Matches
Jeffrey Gal,us USA,GK,Chicago Fire,32-029,1993,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Jon Gallagher,ie IRL,DF,Austin,29-071,1996,8.4,12,7,9,2,1,6,10,60.0,4,8,3,5,4,16,36,1,Matches
Pedro Gallese,pe PER,GK,Orlando City,35-071,1990,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
Ignatius Ganago,cm CMR,"FW,MF",NE Revolution,26-078,1999,9.3,10,9,4,4,2,4,12,33.3,8,9,2,7,1,11,14,0,Matches
Carlos Garcés,co COL,DF,LA Galaxy,23-206,2001,7.6,21,13,16,5,0,10,15,66.7,5,9,1,8,10,31,22,3,Matches
Manu García,es ESP,MF,Sporting KC,27-123,1998,10.4,16,10,2,7,7,7,17,41.2,10,9,1,8,3,19,6,1,Matches
Ryan Gauld,sct SCO,FW,Vancouver W'caps,29-140,1995,2.2,5,3,0,3,2,3,7,42.9,4,4,0,4,3,8,0,0,Matches
Dániel Gazdag,hu HUN,"MF,FW",Philadelphia Union,29-064,1996,5.5,13,9,3,6,4,7,12,58.3,5,4,0,4,1,14,1,1,Matches
Dániel Gazdag,hu HUN,"FW,MF",Columbus Crew,29-064,1996,2.5,2,1,1,0,1,2,5,40.0,3,2,0,2,2,4,0,0,Matches
Owen Géne,fr FRA,"MF,FW",Minnesota Utd,22-047,2003,1.1,1,1,0,1,0,1,3,33.3,2,2,2,0,1,2,0,0,Matches
Joran Gerbet,fr FRA,MF,Orlando City,23-309,2001,4.3,13,10,4,7,2,4,6,66.7,2,8,5,3,6,19,4,0,Matches
Carles Gil,es ESP,MF,NE Revolution,32-164,1992,10.0,11,9,1,7,3,8,16,50.0,8,3,0,3,5,16,3,0,Matches
Blake Gillingham,us USA,GK,Houston Dynamo,22-206,2002,3.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Olivier Giroud,fr FRA,FW,LAFC,38-217,1986,4.6,4,2,1,3,0,1,2,50.0,1,4,1,3,0,4,6,0,Matches
Dennis Gjengaar,no NOR,"FW,MF",NY Red Bulls,21-070,2004,3.3,4,3,1,1,2,4,9,44.4,5,4,0,4,1,5,4,0,Matches
Justen Glad,us USA,DF,Real Salt Lake,28-066,1997,10.0,12,5,5,6,1,4,8,50.0,4,16,10,6,14,26,53,0,Matches
Omari Glasgow,gy GUY,"DF,FW",Chicago Fire,21-164,2003,5.3,10,5,5,2,3,6,12,50.0,6,11,1,10,2,12,12,0,Matches
Ian Glavinovich,ar ARG,DF,Philadelphia Union,23-190,2001,2.9,3,2,2,1,0,0,1,0.0,1,4,1,3,5,8,18,0,Matches
Jakob Glesnes,no NOR,DF,Philadelphia Union,31-041,1994,11.0,14,9,11,3,0,8,13,61.5,5,12,7,5,15,29,72,0,Matches
Aníbal Godoy,pa PAN,MF,San Diego FC,35-084,1990,8.0,12,7,4,7,1,4,10,40.0,6,1,1,0,8,20,5,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,32-309,1992,9.9,26,15,10,15,1,15,21,71.4,6,7,3,4,19,45,56,1,Matches
Nicksoen Gomis,fr FRA,DF,Toronto FC,23-051,2002,5.3,10,4,6,2,2,6,8,75.0,2,4,2,2,4,14,11,1,Matches
Diogo Gonçalves,pt POR,"FW,MF",Real Salt Lake,28-088,1997,9.2,3,2,1,2,0,0,3,0.0,3,10,0,10,7,10,7,0,Matches
Omar Gonzalez,us USA,"DF,MF",Chicago Fire,36-206,1988,0.8,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,7,0,Matches
Zavier Gozo,us USA,FW,Real Salt Lake,18-044,2007,2.9,15,8,5,6,4,6,12,50.0,6,5,0,5,1,16,7,0,Matches
Owen Graham Roache,ca CAN,FW,CF Montréal,17-083,2008,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Tayvon Gray,jm JAM,DF,NYCFC,22-259,2002,2.4,7,4,3,4,0,6,7,85.7,1,4,2,2,2,9,12,0,Matches
Julian Gressel,us USA,MF,Minnesota Utd,31-140,1993,0.3,1,1,0,1,0,0,0,,0,1,1,0,1,2,0,0,Matches
Yuri Guboglo,ht HAI,"DF,MF",CF Montréal,18-046,2007,5.1,7,5,4,2,1,5,11,45.5,6,3,2,1,1,8,15,0,Matches
Colin Guske,us USA,"FW,MF",Orlando City,18-096,2007,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Brian Gutiérrez,us USA,MF,Chicago Fire,21-322,2003,6.1,8,4,4,3,1,4,8,50.0,4,12,1,11,10,18,2,0,Matches
Andrew Gutman,us USA,DF,Chicago Fire,28-215,1996,9.7,18,9,10,6,2,9,13,69.2,4,12,8,4,15,33,42,0,Matches
Brad Guzan,us USA,GK,Atlanta Utd,40-238,1984,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,Matches
Justin Haak,us USA,"DF,MF",NYCFC,23-235,2001,10.7,13,7,8,4,1,5,13,38.5,8,22,9,13,15,28,58,0,Matches
Taha Habroune,us USA,"MF,FW",Columbus Crew,19-089,2006,0.4,3,1,1,1,1,1,2,50.0,1,2,0,2,1,4,0,0,Matches
Alexander Hack,de GER,DF,NY Red Bulls,31-239,1993,5.4,13,6,6,7,0,8,15,53.3,7,9,4,5,12,25,37,0,Matches
Teenage Hadebe,zw ZIM,DF,FC Cincinnati,29-230,1995,3.3,8,5,5,3,0,4,5,80.0,1,3,2,1,10,18,21,0,Matches
Nick Hagglund,us USA,DF,FC Cincinnati,32-233,1992,5.5,2,1,2,0,0,1,1,100.0,0,10,8,2,0,2,44,0,Matches
Maren Haile-Selassie,ch SUI,"FW,MF",Chicago Fire,26-053,1999,1.8,1,1,0,0,1,1,1,100.0,0,5,0,5,1,2,0,0,Matches
Belal Halbouni,sy SYR,DF,Vancouver W'caps,25-127,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Julian Hall,us USA,"MF,FW",NY Red Bulls,17-042,2008,1.9,1,0,1,0,0,0,2,0.0,2,3,0,3,2,3,1,0,Matches
Bret Halsey,us USA,DF,FC Cincinnati,24-338,2000,0.4,3,1,3,0,0,2,2,100.0,0,0,0,0,1,4,3,0,Matches
Nicholas Hansen,dk DEN,GK,Colorado Rapids,23-299,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Ian Harkes,us USA,MF,SJ Earthquakes,30-036,1995,9.3,14,6,4,7,3,10,20,50.0,10,12,3,9,9,23,14,0,Matches
Cameron Harper,us USA,"DF,FW",NY Red Bulls,23-167,2001,3.5,7,6,4,2,1,3,8,37.5,5,2,0,2,0,7,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Nathan Harriel,us USA,"DF,MF",Philadelphia Union,24-012,2001,6.5,17,6,7,7,3,7,9,77.8,2,8,1,7,15,32,34,0,Matches
Alex Harris,us USA,MF,Colorado Rapids,20-078,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Calvin Harris,eng ENG,"FW,MF",Colorado Rapids,25-046,2000,1.6,4,2,1,2,1,2,6,33.3,4,3,2,1,2,6,3,0,Matches
Marcel Hartel,de GER,MF,St. Louis,29-106,1996,10.9,10,7,5,3,2,6,11,54.5,5,6,1,5,10,20,10,0,Matches
Carlos Harvey,pa PAN,"DF,MF",Minnesota Utd,25-091,2000,5.2,18,11,12,4,2,10,19,52.6,9,4,2,2,10,28,28,0,Matches
Thomas Hasal,ca CAN,GK,LAFC,25-300,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Kobi Henry,us USA,"DF,FW",Real Salt Lake,21-009,2004,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
Fabian Herbers,de GER,"MF,FW",CF Montréal,31-261,1993,2.9,6,5,2,4,0,1,2,50.0,1,1,0,1,5,11,4,0,Matches
Ronald Hernández,ve VEN,"DF,FW",Atlanta Utd,27-226,1997,1.5,1,0,1,0,0,1,4,25.0,3,0,0,0,4,5,4,0,Matches
Aaron Herrera,gt GUA,"DF,MF",D.C. United,27-333,1997,9.7,20,13,12,8,0,15,18,83.3,3,11,3,8,8,28,32,0,Matches
Marcelo Herrera,ar ARG,DF,Columbus Crew,26-183,1998,3.4,6,3,2,2,2,3,7,42.9,4,7,0,7,4,10,11,0,Matches
Kyle Hiebert,ca CAN,DF,St. Louis,27-279,1997,10.6,13,4,9,4,0,6,9,66.7,3,16,7,9,2,15,57,0,Matches
Brendan Hines-Ike,us USA,DF,Austin,30-156,1994,10.0,8,5,8,0,0,3,4,75.0,1,8,8,0,5,13,68,1,Matches
Bongokuhle Hlongwane,za RSA,DF,Minnesota Utd,24-319,2000,10.5,22,15,17,4,1,17,26,65.4,9,11,1,10,14,36,35,0,Matches
Ryan Hollingshead,us USA,"DF,MF",LAFC,34-019,1991,8.0,16,9,11,3,2,9,16,56.3,7,9,4,5,12,28,29,0,Matches
Jannes Horn,de GER,DF,St. Louis,28-088,1997,7.2,12,7,7,5,0,8,9,88.9,1,5,1,4,4,16,18,0,Matches
Jung Hoyeon,kr KOR,MF,Minnesota Utd,24-219,2000,0.2,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
Keegan Hughes,us USA,FW,NE Revolution,24-287,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Sebastien Ibeagha,us USA,DF,FC Dallas,33-104,1992,10.5,6,3,3,2,1,2,4,50.0,2,12,9,3,13,19,66,0,Matches
Aliyu Ibrahim,ng NGA,"MF,FW",Houston Dynamo,23-109,2002,2.0,8,6,4,3,1,2,3,66.7,1,4,0,4,2,10,2,0,Matches
Aliyu Ibrahim,ng NGA,FW,Columbus Crew,23-109,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Sunusi Ibrahim,ng NGA,FW,CF Montréal,22-216,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Igor,br BRA,MF,LAFC,22-059,2003,8.7,23,11,5,12,6,12,18,66.7,6,12,2,10,9,32,13,0,Matches
Mitja Ilenič,si SVN,DF,NYCFC,20-130,2004,8.2,5,3,4,1,0,5,9,55.6,4,8,1,7,10,15,27,0,Matches
Milan Iloski,us USA,"MF,FW",San Diego FC,25-280,1999,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Bjørn Inge Utvik,no NOR,DF,Vancouver W'caps,29-066,1996,2.9,3,3,2,0,1,3,3,100.0,0,1,1,0,1,4,20,0,Matches
Marcus Ingvartsen,dk DEN,FW,San Diego FC,29-121,1996,3.5,0,0,0,0,0,0,0,,0,3,0,3,2,2,1,0,Matches
Lorenzo Insigne,it ITA,"MF,FW",Toronto FC,33-335,1991,5.2,6,3,3,1,2,1,4,25.0,3,6,1,5,4,10,4,0,Matches
Aljaž Ivačič,si SVN,GK,NE Revolution,31-127,1993,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,Matches
Ousman jabang,us USA,DF,CF Montréal,24-037,2001,1.0,1,1,0,0,1,1,1,100.0,0,1,0,1,0,1,3,0,Matches
Aziel Jackson,us USA,"MF,FW",Columbus Crew,23-193,2001,4.7,8,5,3,3,2,3,7,42.9,4,6,0,6,4,12,3,0,Matches
Robin Jansson,se SWE,DF,Orlando City,33-171,1991,9.0,5,4,4,1,0,4,5,80.0,1,10,6,4,7,12,41,1,Matches
Danley Jean-Jacques,ht HAI,MF,Philadelphia Union,24-350,2000,9.4,17,8,11,5,1,5,12,41.7,7,8,1,7,22,39,17,0,Matches
Julio Joao Ortíz,ec ECU,MF,Portland Timbers,29-004,1996,4.5,4,2,3,1,0,2,3,66.7,1,2,0,2,0,4,4,0,Matches
Sean Johnson,us USA,GK,Toronto FC,35-339,1989,11.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,7,1,Matches
Tate Johnson,us USA,DF,Vancouver W'caps,19-299,2005,6.5,10,8,6,3,1,5,9,55.6,4,3,1,2,6,16,27,0,Matches
DeJuan Jones,us USA,DF,Columbus Crew,27-315,1997,2.7,3,1,1,1,1,2,3,66.7,1,1,0,1,5,8,3,0,Matches
DeJuan Jones,us USA,DF,SJ Earthquakes,27-315,1997,1.3,2,2,1,1,0,1,5,20.0,4,5,0,5,3,5,1,0,Matches
Derrick Jones,us USA,MF,Columbus Crew,28-063,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Kim Joonhong,kr KOR,GK,D.C. United,21-336,2003,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,Matches
Dejan Joveljić,rs SRB,FW,Sporting KC,25-271,1999,10.1,10,6,2,2,6,1,4,25.0,3,4,1,3,1,11,8,0,Matches
Mykhi Joyner,us USA,"MF,FW",St. Louis,18-248,2006,0.8,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,5,0,Matches
Preston Judd,us USA,"FW,MF",SJ Earthquakes,25-342,1999,2.5,2,1,0,0,2,1,1,100.0,0,6,0,6,1,3,1,0,Matches
Anderson Julio,ec ECU,"FW,DF",FC Dallas,28-339,1996,6.9,8,6,4,3,1,2,12,16.7,10,5,0,5,7,15,7,0,Matches
Sam Junqua,us USA,DF,Real Salt Lake,28-177,1996,5.8,11,6,5,3,3,6,7,85.7,1,8,5,3,5,16,15,0,Matches
Mathias Jørgensen,dk DEN,DF,LA Galaxy,35-012,1990,6.3,7,6,5,1,1,6,7,85.7,1,12,7,5,5,12,24,1,Matches
Kristijan Kahlina,hr CRO,GK,Charlotte,32-285,1992,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,3,Matches
Kaick,br BRA,MF,FC Dallas,19-157,2005,3.9,14,9,6,7,1,7,15,46.7,8,4,1,3,4,18,8,0,Matches
Bernard Kamungo,us USA,FW,FC Dallas,23-124,2002,2.2,2,0,1,0,1,1,1,100.0,0,1,0,1,4,6,0,0,Matches
Bibi Karamoko,us USA,FW,D.C. United,19-185,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Alexandros Katranis,gr GRE,DF,Real Salt Lake,27-001,1998,6.9,11,6,8,2,1,8,10,80.0,2,4,0,4,3,14,15,0,Matches
Mark-Anthony Kaye,ca CAN,MF,SJ Earthquakes,30-154,1994,3.3,14,7,7,6,1,10,14,71.4,4,7,0,7,5,19,1,0,Matches
Kim Kee-hee,kr KOR,DF,Seattle Sounders,35-296,1989,3.5,4,2,4,0,0,1,2,50.0,1,4,1,3,4,8,16,0,Matches
Kevin Kelsy,ve VEN,FW,Portland Timbers,20-282,2004,4.8,1,1,0,0,1,0,1,0.0,1,2,2,0,1,2,5,0,Matches
Ryan Kent,eng ENG,"MF,FW",Seattle Sounders,28-175,1996,0.7,2,2,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0,Matches
Deandre Kerr,ca CAN,FW,Toronto FC,22-167,2002,2.5,1,1,1,0,0,0,1,0.0,1,3,0,3,1,2,0,0,Matches
Henry Kessler,us USA,DF,St. Louis,26-314,1998,8.0,12,9,11,1,0,7,8,87.5,1,13,12,1,2,14,58,0,Matches
Hosei Kijima,jp JPN,"MF,FW",D.C. United,22-308,2002,9.1,13,7,5,4,4,8,19,42.1,11,14,0,14,9,22,10,1,Matches
Klauss,br BRA,FW,St. Louis,28-065,1997,7.0,9,4,4,5,0,2,5,40.0,3,4,1,3,4,13,11,0,Matches
Mateusz Klich,pl POL,MF,Atlanta Utd,34-326,1990,4.2,8,7,2,5,1,3,10,30.0,7,4,0,4,7,15,2,0,Matches
Žan Kolmanič,si SVN,"DF,MF",Austin,25-063,2000,2.0,6,3,4,1,1,3,3,100.0,0,5,3,2,2,8,5,1,Matches
Rominigue Kouamé,ml MLI,MF,Chicago Fire,28-139,1996,1.3,1,1,1,0,0,0,0,,0,1,0,1,0,1,2,0,Matches
Sebastian Kowalczyk,pl POL,"FW,MF",Houston Dynamo,26-256,1998,9.0,16,11,11,3,2,8,18,44.4,10,14,0,14,6,22,7,0,Matches
Damir Kreilach,hr CRO,FW,Vancouver W'caps,36-019,1989,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Theodore Ku-Dipietro,us USA,"MF,FW",Colorado Rapids,23-097,2002,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Yuya Kubo,jp JPN,"MF,FW",FC Cincinnati,31-132,1993,4.6,5,2,1,2,2,2,4,50.0,2,4,1,3,1,6,5,0,Matches
Willy Kumado,gh GHA,DF,San Diego FC,22-201,2002,4.8,9,6,6,1,2,4,5,80.0,1,4,0,4,3,12,12,1,Matches
Luca de la Torre,us USA,MF,San Diego FC,26-347,1998,9.2,17,9,3,6,8,7,11,63.6,4,12,3,9,3,20,6,1,Matches
Mathías Laborda,uy URU,DF,Vancouver W'caps,25-232,1999,5.9,17,4,9,7,1,8,11,72.7,3,9,4,5,7,24,13,0,Matches
Luca Langoni,ar ARG,"FW,MF",NE Revolution,23-085,2002,4.8,8,6,4,3,1,4,8,50.0,4,5,1,4,4,12,8,0,Matches
Lassi Lappalainen,fi FIN,MF,Columbus Crew,26-254,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Oliver Larraz,us USA,"MF,FW",Colorado Rapids,23-231,2001,9.6,30,16,11,15,4,11,20,55.0,9,22,2,20,15,45,7,0,Matches
Richie Laryea,ca CAN,DF,Toronto FC,30-118,1995,1.2,4,0,3,0,1,2,3,66.7,1,0,0,0,2,6,2,0,Matches
Ariel Lassiter,cr CRC,"FW,MF",Portland Timbers,30-220,1994,2.1,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,Matches
Emmanuel Latte Lath,ci CIV,FW,Atlanta Utd,26-124,1999,9.5,9,5,3,3,3,1,4,25.0,3,9,3,6,3,12,7,0,Matches
