Player,Nation,Pos,Squad,Age,Born,90s,Tkl_attempted,TklW,Tkl_Def,Tkl_Mid,Tkl_Att,Drib_Tkl,Drib_chal,Drib_Tkl%,Chal_Lost,Blocks,Shots_blocked,Pass_blocked,Interceptions,Tkl+Int,Clr,Err_shot,Matches
David Ayala,ar ARG,MF,Portland Timbers,22-283,2002,9.5,30,20,16,9,5,15,20,75.0,5,15,3,12,14,44,16,0,Matches
Dominique Badji,sn SEN,"FW,MF",D.C. United,32-201,1992,3.6,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,4,0,Matches
Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-055,2006,1.4,4,4,2,2,0,2,3,66.7,1,0,0,0,3,7,0,0,Matches
Corey Baird,us USA,"FW,MF",FC Cincinnati,29-095,1996,3.3,5,4,2,3,0,2,6,33.3,4,2,0,2,1,6,3,0,Matches
Cody Baker,us USA,MF,Seattle Sounders,21-118,2004,0.2,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,Matches
Reed Baker-Whiting,us USA,"FW,MF",Seattle Sounders,20-035,2005,0.3,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,2,0,Matches
Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-112,2001,3.2,6,4,2,3,1,5,10,50.0,5,3,0,3,3,9,9,0,Matches
Jonathan Bamba,ci CIV,FW,Chicago Fire,29-040,1996,9.6,7,3,3,2,2,4,10,40.0,6,6,1,5,8,15,6,0,Matches
Fidel Barajas,mx MEX,FW,D.C. United,19-030,2006,0.2,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
Jesús Barea,es ESP,FW,Real Salt Lake,23-007,2002,2.0,2,2,0,1,1,1,1,100.0,0,2,1,1,0,2,1,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Tai Baribo,il ISR,FW,Philadelphia Union,27-110,1998,7.9,7,4,0,7,0,1,2,50.0,1,11,0,11,5,12,4,0,Matches
Tom Barlow,us USA,"FW,MF",Chicago Fire,29-301,1995,2.1,0,0,0,0,0,0,0,,0,2,1,1,1,1,3,0,Matches
Luis Barraza,us USA,GK,D.C. United,28-178,1996,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
Leonardo Barroso,pt POR,DF,Chicago Fire,19-327,2005,3.0,6,5,3,2,1,2,4,50.0,2,2,0,2,2,8,9,0,Matches
Jacob Bartlett,us USA,MF,Sporting KC,19-210,2005,6.5,11,4,4,7,0,3,6,50.0,3,7,3,4,12,23,14,0,Matches
Lucas Bartlett,us USA,DF,D.C. United,27-283,1997,10.0,14,8,10,4,0,10,10,100.0,0,10,7,3,16,30,60,1,Matches
Ethan Bartlow,us USA,DF,Houston Dynamo,25-092,2000,4.3,7,5,4,1,2,4,4,100.0,0,4,0,4,1,8,28,1,Matches
Cole Bassett,us USA,"MF,FW",Colorado Rapids,23-281,2001,9.4,14,7,5,5,4,7,17,41.2,10,12,2,10,1,15,12,0,Matches
Sam Bassett,us USA,MF,Colorado Rapids,22-022,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,27-159,1997,10.0,11,8,3,7,1,3,11,27.3,8,5,0,5,7,18,1,0,Matches
Zorhan Bassong,ca CAN,MF,Sporting KC,25-363,1999,3.5,7,4,3,4,0,2,4,50.0,2,5,1,4,4,11,7,0,Matches
Andy Batioja,co COL,FW,Houston Dynamo,19-094,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Josh Bauer,us USA,DF,Nashville SC,26-287,1998,2.4,3,2,1,2,0,1,2,50.0,1,3,0,3,4,7,8,0,Matches
Timo Baumgartl,de GER,DF,St. Louis,29-062,1996,4.2,8,5,7,1,0,3,3,100.0,0,8,5,3,2,10,23,0,Matches
Tanner Beason,us USA,DF,NE Revolution,28-043,1997,4.6,9,7,4,4,1,5,8,62.5,3,12,10,2,5,14,38,0,Matches
Adam Beaudry,us USA,GK,Colorado Rapids,19-017,2006,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Simon Becher,us USA,"FW,MF",St. Louis,25-289,1999,5.0,1,1,1,0,0,1,2,50.0,1,6,1,5,3,4,7,0,Matches
Alejandro Bedoya,us USA,"MF,FW",Philadelphia Union,38-006,1987,0.8,3,3,2,1,0,0,1,0.0,1,1,0,1,2,5,1,0,Matches
Jon Bell,jm JAM,DF,Seattle Sounders,27-252,1997,4.1,1,1,0,1,0,0,0,,0,4,2,2,6,7,23,0,Matches
Ramiro Benetti,br BRA,MF,FC Dallas,31-348,1993,10.0,26,12,7,13,6,10,26,38.5,16,18,1,17,19,45,21,0,Matches
Christian Benteke,be BEL,FW,D.C. United,34-153,1990,9.0,4,2,0,3,1,2,3,66.7,1,8,1,7,1,5,10,1,Matches
Sebastian Berhalter,us USA,MF,Vancouver W'caps,23-353,2001,8.4,31,17,15,10,6,11,14,78.6,3,9,1,8,13,44,16,0,Matches
