Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_DefAct
Adrian Wibowo,us USA,FW,LAFC,19-109,2006,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Derrick Williams,ie IRL,DF,Atlanta Utd,32-109,1993,6.1,3,0.50,2,1,0,0,0,0,1,0.17,0,1,0,0,0,0,Matches
Samuel Williams,us USA,MF,Chicago Fire,20-049,2005,2.6,1,0.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Thomas Williams,us USA,DF,Orlando City,20-264,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Eryk Williamson,us USA,"MF,FW",Charlotte,27-329,1997,2.1,6,2.89,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joe Willis,us USA,GK,Nashville SC,36-269,1988,11.0,2,0.18,2,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Bruno Wilson,pt POR,DF,SJ Earthquakes,28-130,1996,8.0,6,0.75,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Henry Wingo,us USA,DF,Toronto FC,29-214,1995,2.5,3,1.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hannes Wolf,at AUT,FW,NYCFC,26-020,1999,10.4,25,2.39,18,2,1,4,0,0,3,0.29,3,0,0,0,0,0,Matches
Owen Wolff,us USA,"MF,FW",Austin,20-127,2004,10.0,33,3.30,18,13,1,0,1,0,3,0.30,0,3,0,0,0,0,Matches
Tyler Wolff,us USA,"FW,MF",Real Salt Lake,22-082,2003,2.3,6,2.61,3,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Elijah Wynder,us USA,MF,LA Galaxy,22-057,2003,2.5,5,1.98,5,0,0,0,0,0,1,0.40,1,0,0,0,0,0,Matches
Miki Yamane,jp JPN,DF,LA Galaxy,31-135,1993,7.3,18,2.47,17,0,0,0,0,1,3,0.41,3,0,0,0,0,0,Matches
Dominik Yankov,bg BUL,MF,CF Montréal,24-282,2000,0.3,2,5.81,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Darren Yapi,us USA,FW,Colorado Rapids,20-168,2004,3.6,5,1.41,3,0,0,0,1,1,1,0.28,0,0,0,0,1,0,Matches
Joshua Yaro,gh GHA,DF,St. Louis,30-169,1994,7.1,2,0.28,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Patrick Yazbek,au AUS,MF,Nashville SC,23-031,2002,6.3,8,1.26,8,0,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Kelvin Yeboah,it ITA,FW,Minnesota Utd,25-000,2000,8.6,21,2.45,17,0,1,2,1,0,1,0.12,1,0,0,0,0,0,Matches
Yaw Yeboah,gh GHA,"MF,FW",LAFC,28-039,1997,3.2,5,1.54,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
DeAndre Yedlin,us USA,DF,FC Cincinnati,31-301,1993,9.8,21,2.15,19,0,0,0,1,1,1,0.10,1,0,0,0,0,0,Matches
Maya Yoshida,jp JPN,DF,LA Galaxy,36-255,1988,7.0,9,1.28,9,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Jackson Yueill,us USA,MF,NE Revolution,28-048,1997,4.2,7,1.66,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alhassan Yusuf,ng NGA,MF,NE Revolution,24-292,2000,9.9,27,2.72,25,1,0,1,0,0,2,0.20,2,0,0,0,0,0,Matches
Wilfried Zaha,ci CIV,"FW,MF",Charlotte,32-177,1992,9.0,33,3.67,25,0,4,0,4,0,3,0.33,2,0,0,0,1,0,Matches
Eriq Zavaleta,sv SLV,DF,LA Galaxy,32-277,1992,1.4,1,0.71,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sean Zawadzki,us USA,"DF,MF",Columbus Crew,25-015,2000,11.0,14,1.27,11,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Walker Zimmerman,us USA,DF,Nashville SC,31-352,1993,6.9,11,1.60,7,0,0,3,1,0,2,0.29,1,0,0,1,0,0,Matches
Philip Zinckernagel,dk DEN,FW,Chicago Fire,30-141,1994,8.5,42,4.95,20,11,7,2,1,1,5,0.59,2,2,0,0,0,1,Matches
Rida Zouhir,ca CAN,"MF,FW",D.C. United,21-164,2003,1.0,4,3.96,2,2,0,0,0,0,1,0.99,1,0,0,0,0,0,Matches
