,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
35,35,Tomás Avilés,ar ARG,DF,Inter Miami,21-079,2004,3.6,2,0.56,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,36,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-112,1997,8.7,5,0.57,4,0,0,1,0,0,1,0.11,0,0,0,1,0,0,Matches
37,37,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-018,2001,9.0,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
38,38,David Ayala,ar ARG,MF,Portland Timbers,22-271,2002,7.7,13,1.69,9,0,0,3,0,1,1,0.13,0,0,0,1,0,0,Matches
39,39,Dominique Badji,sn SEN,"MF,FW",D.C. United,32-189,1992,2.5,3,1.22,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
40,40,Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-043,2006,0.7,1,1.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,41,Corey Baird,us USA,"MF,FW",FC Cincinnati,29-083,1996,3.1,13,4.13,9,2,0,2,0,0,2,0.64,0,0,0,2,0,0,Matches
42,42,Cody Baker,us USA,MF,Seattle Sounders,21-106,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,43,Reed Baker-Whiting,us USA,"FW,MF",Seattle Sounders,20-023,2005,0.3,2,6.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,44,Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-100,2001,3.1,9,2.90,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
45,45,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-028,1996,8.6,35,4.06,27,0,2,3,2,1,7,0.81,5,0,1,0,0,1,Matches
46,46,Fidel Barajas,mx MEX,FW,D.C. United,19-018,2006,0.2,1,4.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47,47,Jesús Barea,es ESP,FW,Real Salt Lake,22-360,2002,2.0,8,3.98,3,1,0,3,1,0,0,0.00,0,0,0,0,0,0,Matches
48,48,Tai Baribo,il ISR,"FW,MF",Philadelphia Union,27-098,1998,6.4,11,1.72,9,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
49,49,Tom Barlow,us USA,"FW,MF",Chicago Fire,29-289,1995,1.6,2,1.28,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
50,50,Luis Barraza,us USA,GK,D.C. United,28-166,1996,2.0,1,0.50,0,1,0,0,0,0,1,0.50,0,1,0,0,0,0,Matches
51,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
52,51,Leonardo Barroso,pt POR,DF,Chicago Fire,19-315,2005,3.0,4,1.35,4,0,0,0,0,0,2,0.67,2,0,0,0,0,0,Matches
53,52,Jacob Bartlett,us USA,MF,Sporting KC,19-198,2005,4.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,53,Lucas Bartlett,us USA,DF,D.C. United,27-271,1997,9.0,6,0.67,6,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
55,54,Ethan Bartlow,us USA,DF,Houston Dynamo,25-080,2000,4.0,5,1.24,2,0,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
56,55,Cole Bassett,us USA,"MF,FW",Colorado Rapids,23-269,2001,8.5,26,3.06,23,1,0,2,0,0,4,0.47,4,0,0,0,0,0,Matches
